#事業者名	線名	駅1	駅2	駅間営業粨程	駅間計算粨程	駅間実乗粨程	制約
JR東海	東海道新幹線	品川	新横浜	220	220	220	-規16-2_2_(1),:基149_品川	# 基149（品川～大崎）
JR東海	東海道新幹線	新横浜	小田原	551	551	551	-規16-2_2_(1)
JR東海	東海道新幹線	三島	静岡	595	595	595	-規16-2_2_(2)
JR東海	東海道新幹線	名古屋	米原	799	799	799	-規16-2_2_(3)
JR西日本	山陽新幹線	新大阪	西明石	597	597	635	-規16-2_2_(4)	# 基151（新大阪～大阪）
JR西日本	山陽新幹線	三原	広島	714	714	714	-規16-2_2_(6)
JR西日本	山陽新幹線	広島	徳山	1102	1102	1102	-規16-2_2_(7)
JR東日本	東北新幹線	（北）福島	仙台	790	790	790	-規16-2_2_(8)
JR東日本	東北新幹線	仙台	古川	432	432	432	-規16-2_2_(9),+規157_(8)
JR東日本	東北新幹線	古川	一ノ関	501	501	501	-規16-2_2_(9),+規157_(8)
JR東日本	東北新幹線	北上	新花巻	125	125	125	-規16-2_2_(11)
JR東日本	東北新幹線	新花巻	盛岡	353	353	353	-規16-2_2_(11),-正規化1
JR東日本	東北新幹線	盛岡	八戸	966	966	966	
JR東日本	東北新幹線	八戸	新青森	818	818	818	
JR東日本	上越新幹線	熊谷	高崎	403	403	403	-規16-2_2_(12)
JR東日本	上越新幹線	高崎	越後湯沢	942	942	942	-規16-2_2_(13)
JR東日本	上越新幹線	長岡	燕三条	232	232	232	-規16-2_2_(14)
JR東日本	上越新幹線	燕三条	新潟	401	401	401	-規16-2_2_(14)
JR東日本	北陸新幹線	高崎	佐久平	594	594	594	
JR東日本	北陸新幹線	佐久平	長野	580	580	580	
JR東日本	北陸新幹線	長野	飯山	299	299	299	
JR東日本	北陸新幹線	飯山	上越妙高	296	296	296	
JR西日本	北陸新幹線	上越妙高	糸魚川	370	370	370	
JR西日本	北陸新幹線	糸魚川	富山	730	730	730	
JR西日本	北陸新幹線	富山	新高岡	189	189	189	
JR西日本	北陸新幹線	新高岡	敦賀	1648	1648	1648	
JR東日本	東海道本線	東京	品川	68	68	68	:基149_品川	# 基149（品川～大崎）
JR東日本	東海道本線	品川	川崎	114	114	114	+規16-2_2_(1),+規69_(4),:基149_品川	# 基149（品川～大崎）
JR東日本	東海道本線	川崎	鶴見	35	35	35	+規16-2_2_(1),+規69_(4),:基149_鶴見
JR東日本	東海道本線	鶴見	東神奈川	53	53	71	+規16-2_2_(1),:規157_(21),:基149_鶴見	# 基149（東神奈川～横浜）, 基151（東神奈川～横浜）
JR東日本	東海道本線	東神奈川	横浜	18	18	0	+規16-2_2_(1),:規157_(21)	# 基149（東神奈川～横浜）, 基151（東神奈川～横浜）
JR東日本	東海道本線	横浜	大船	177	177	177	+規16-2_2_(1),:規157_(21)
JR東日本	東海道本線	大船	茅ケ崎	121	121	121	+規16-2_2_(1),:規157_(21)
JR東日本	東海道本線	茅ケ崎	国府津	191	191	191	+規16-2_2_(1),:規157_(21)
JR東日本	東海道本線	国府津	小田原	62	62	62	+規16-2_2_(1),:規157_(21)
JR東日本	東海道本線	小田原	熱海	207	207	207	
JR東海	東海道本線	熱海	三島	161	161	161	
JR東海	東海道本線	三島	沼津	55	55	55	+規16-2_2_(2)
JR東海	東海道本線	沼津	富士	200	200	200	+規16-2_2_(2)
JR東海	東海道本線	富士	静岡	340	340	340	+規16-2_2_(2)
JR東海	東海道本線	静岡	豊橋	1134	1134	1134	
JR東海	東海道本線	豊橋	大府	529	529	529	
JR東海	東海道本線	大府	（中）金山	162	162	195		# 基151（金山～名古屋）
JR東海	東海道本線	（中）金山	名古屋	33	33	0		# 基151（金山～名古屋）
JR東海	東海道本線	名古屋	岐阜	303	303	303	+規16-2_2_(3)
