#事業者名	線名	駅1	駅2	駅間営業粨程	駅間計算粨程	駅間実乗粨程	制約
JR九州	九州新幹線	博多	新鳥栖	286	286	286	-規16-2_2_(15)
JR九州	九州新幹線	新鳥栖	久留米	71	71	71	-規16-2_2_(15)
JR九州	九州新幹線	新八代	（鹿）川内	915	915	915	
JR九州	西九州新幹線	武雄温泉	新大村	322	322	322	
JR九州	西九州新幹線	新大村	諫早	125	125	125	
JR九州	鹿児島本線	小倉	西小倉	8	8	0	:規68_4_(3)	# 基151（西小倉～小倉）
JR九州	鹿児島本線	西小倉	折尾	183	183	191		# 基151（西小倉～小倉）
JR九州	鹿児島本線	折尾	香椎	397	397	397	
JR九州	鹿児島本線	香椎	吉塚	66	66	84	:基43-2	# 基151（吉塚～博多）
JR九州	鹿児島本線	吉塚	博多	18	18	0	:規68_4_(3)	# 基151（吉塚～博多）
JR九州	鹿児島本線	博多	原田	197	197	197	+規16-2_2_(15),:博多再通過
JR九州	鹿児島本線	原田	鳥栖	89	89	89	+規16-2_2_(15)
JR九州	鹿児島本線	鳥栖	久留米	71	71	71	+規16-2_2_(15)
JR九州	鹿児島本線	久留米	筑後船小屋	158	158	158	
JR九州	鹿児島本線	筑後船小屋	熊本	669	669	669		# 九州新幹線と統合
JR九州	鹿児島本線	熊本	宇土	109	109	0		# 基151（宇土～熊本）
JR九州	鹿児島本線	宇土	新八代	220	220	329		# 基151（宇土～熊本）
JR九州	鹿児島本線	新八代	八代	28	28	28	
JR九州	鹿児島本線	（鹿）川内	鹿児島中央	461	461	461	
JR九州	鹿児島本線	鹿児島中央	鹿児島	32	32	32	
JR九州	香椎線	西戸崎	香椎	129	142	129	
JR九州	香椎線	香椎	長者原	63	69	63	
JR九州	香椎線	長者原	宇美	62	68	62	
JR九州	篠栗線	（筑）桂川	長者原	194	194	194	
JR九州	篠栗線	長者原	吉塚	57	57	75		# 基151（吉塚～博多）
JR西日本	博多南線	博多	博多南	85	85	85	
JR九州	三角線	宇土	三角	256	282	365		# 基151（宇土～熊本）
JR九州	肥薩線	八代	吉松	868	955	868	
JR九州	肥薩線	吉松	隼人	374	411	374	
JR九州	指宿枕崎線	鹿児島中央	枕崎	878	966	878	
JR九州	長崎本線	鳥栖	新鳥栖	29	29	29	
JR九州	長崎本線	新鳥栖	久保田	285	285	221		# 基151（久保田～佐賀）
JR九州	長崎本線	久保田	江北	82	82	146		# 基151（久保田～佐賀）
JR九州	長崎本線	江北	諫早	608	608	608	
JR九州	長崎本線	諫早	喜々津	65	65	65	
JR九州	長崎本線	喜々津	浦上	168	168	184		# 基151（浦上～長崎）
JR九州	長崎本線	浦上	長崎	16	16	0		# 基151（浦上～長崎）
JR九州	長崎本線（旧線）	喜々津	浦上	235	235	251		# 基151（浦上～長崎）
JR九州	唐津線	久保田	山本	329	362	393		# 基151（久保田～佐賀）
JR九州	唐津線	山本	唐津	74	81	74	
JR九州	唐津線	唐津	西唐津	22	25	22	
JR九州	筑肥線	姪浜	唐津	426	426	426	
JR九州	筑肥線	山本	伊万里	257	257	257	
JR九州	佐世保線	江北	武雄温泉	137	137	137	
JR九州	佐世保線	武雄温泉	早岐	262	262	262	
JR九州	佐世保線	早岐	佐世保	89	89	89	
JR九州	大村線	早岐	竹松	328	361	328		# 竹松～新大村間は必要に応じて追加
JR九州	大村線	新大村	諫早	139	153	139	
JR九州	久大本線	久留米	大分	1415	1557	1415	
JR九州	豊肥本線	大分	熊本	1480	1628	1480	
JR九州	日豊本線	西小倉	城野	53	53	0		# 基151（西小倉～小倉, 城野～小倉）
JR九州	日豊本線	城野	大分	1268	1268	1329		# 基151（城野～小倉）
JR九州	日豊本線	大分	南宮崎	2096	2096	2096	
JR九州	日豊本線	南宮崎	都城	474	474	474	
JR九州	日豊本線	都城	隼人	448	448	448	
JR九州	日豊本線	隼人	鹿児島	279	279	279	
JR九州	日田彦山線	城野	田川後藤寺	300	330	361		# 基151（城野～小倉）
JR九州	日田彦山線	田川後藤寺	添田	95	105	95	
JR九州	日南線	南宮崎	田吉	20	22	0		# 基151（田吉～南宮崎）
JR九州	日南線	田吉	志布志	869	956	889		# 基151（田吉～南宮崎）
JR九州	宮崎空港線	田吉	宮崎空港	14	14	34		# 基151（田吉～南宮崎）
JR九州	吉都線	吉松	都城	616	678	616	
JR九州	筑豊本線	若松	折尾	108	119	108	
JR九州	筑豊本線	折尾	新飯塚	268	295	268	
JR九州	筑豊本線	新飯塚	（筑）桂川	77	84	77	
JR九州	筑豊本線	（筑）桂川	原田	208	229	208	
JR九州	後藤寺線	田川後藤寺	新飯塚	133	146	133	

## 本州
-	-	小倉	本州	100000	100000	100000	

## 流儀によって使用/不使用を切り替えるべき枝
#JR西日本	山陽新幹線	小倉	博多	672	672	672	*規68_4_(3)	# 新在別線派
#JR西日本	山陽新幹線	小倉	吉塚	654	654	672	*規68_4_(3),*基43-2,*博多再通過	# 新在別線派B
#JR西日本	山陽新幹線	小倉	吉塚	654	654	672	*規68_4_(3),*基43-2	# 新在別線派C
